#Index,TrialNumber,BlockNumber,QuestionResult,TimeOfHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection
0,0,0,1,QuestionRow,,,,,,20230618-160519,160603764,160605417,1.652835,9999,,"",0,160453251
1,1,1,1,QuestionRow,,,,,,20230618-160519,160611160,160614546,3.386527,888,,"",0,160453252
2,2,1,1,QuestionRow,,,,,,20230618-160519,160634750,160636469,1.719407,888,,"",1,160635996
3,3,1,1,QuestionRow,,,,,,20230618-160519,160646245,160708976,22.73119,888,,"",1,160635996
4,4,1,0,QuestionRow,,,,,,20230618-160519,160727149,160843766,76.61726,888,,"",1,160705097
5,5,1,0,QuestionRow,,,,,,20230618-160519,160850922,160855306,4.383058,888,,"",-1,160853289
6,6,1,0,QuestionRow,,,,,,20230618-160519,160900141,160904912,4.770585,888,,"",-1,160903079
7,7,1,0,QuestionRow,,,,,,20230618-160519,160911968,160914064,2.095929,888,,"",-1,160912974
8,8,1,1,QuestionRow,,,,,,20230618-160519,160917912,160920250,2.338377,888,,"",1,160919854
9,9,1,1,QuestionRow,,,,,,20230618-160519,160925617,160928923,3.306554,888,,"",1,160928573
10,10,1,0,QuestionRow,,,,,,20230618-160519,160940842,160944150,3.307326,888,,"",-1,160943645
11,11,1,1,QuestionRow,,,,,,20230618-160519,160951740,160953357,1.616772,888,,"",1,160953073
12,12,1,0,QuestionRow,,,,,,20230618-160519,161002301,161004496,2.195494,888,,"",-1,161003987
13,13,1,1,QuestionRow,,,,,,20230618-160519,161016259,161018445,2.18628,888,,"",-1,161003987
14,14,1,0,QuestionRow,,,,,,20230618-160519,161032708,161034760,2.051696,888,,"",-1,161033930
15,15,1,1,QuestionRow,,,,,,20230618-160519,161046611,161051675,5.063759,888,,"",-1,161033930
16,16,1,1,QuestionRow,,,,,,20230618-160519,161140009,161141302,1.292173,888,,"",1,161050045
17,17,1,1,QuestionRow,,,,,,20230618-160519,161148617,161151070,2.452561,888,,"",1,161150207
18,18,1,1,QuestionRow,,,,,,20230618-160519,161158780,161203819,5.039411,888,,"",1,161150207
19,19,1,0,QuestionRow,,,,,,20230618-160519,161208653,161210327,1.674946,888,,"",-1,161209945
20,20,1,0,QuestionRow,,,,,,20230618-160519,161217170,161218423,1.253176,888,,"",-1,161218062
